Navn;Kodeverdi;Eier;Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gyldig til;ID;Mer generelt begrep;Ekstern id
Aarborte – Hattfjelldal;1826;Kartverket;Gyldig;02.01.2023;1;Aarborte – Hattfjelldal;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1826;;
Agdenes;5016;Kartverket;Tilbaketrukket;02.01.2023;1;Agdenes;01.01.2018 00:00:00;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/5016;;
Agdenes;1622;Kartverket;Tilbaketrukket;02.01.2023;1;Agdenes;;01.01.2018 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1622;;
Alstahaug;1820;Kartverket;Gyldig;02.01.2023;1;Alstahaug;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1820;;
Alta;5403;Kartverket;Tilbaketrukket;02.01.2023;1;Alta;01.01.2020 00:00:00;31.12.2023 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/5403;;
Alta;2012;Kartverket;Tilbaketrukket;02.01.2023;1;Alta;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/2012;;
Alta;5601;Kartverket;Gyldig;02.01.2023;1;Alta;01.01.2024 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/5601;;
Alvdal;0438;Kartverket;Tilbaketrukket;02.01.2023;1;Alvdal;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0438;;
Alvdal;3428;Kartverket;Gyldig;02.01.2023;1;Alvdal;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3428;;
Alver;4631;Kartverket;Gyldig;02.01.2023;1;Alver;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4631;;
Andebu;0719;Kartverket;Tilbaketrukket;02.01.2023;1;Andebu;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0719;;
Andøy;1871;Kartverket;Gyldig;02.01.2023;1;Andøy;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1871;;
Aremark;3124;Kartverket;Gyldig;02.01.2023;1;Aremark;01.01.2024 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3124;;
Aremark;3012;Kartverket;Tilbaketrukket;02.01.2023;1;Aremark;01.01.2020 00:00:00;31.12.2023 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3012;;
Aremark;0118;Kartverket;Tilbaketrukket;02.01.2023;1;Aremark;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0118;;
Arendal;4203;Kartverket;Gyldig;02.01.2023;1;Arendal;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4203;;
Arendal;0903;Kartverket;Tilbaketrukket;02.01.2023;1;Arendal;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0903;;
Arendal;0906;Kartverket;Tilbaketrukket;02.01.2023;1;Arendal;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0906;;
Asker;0220;Kartverket;Tilbaketrukket;02.01.2023;1;Asker;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0220;;
Asker;3203;Kartverket;Gyldig;02.01.2023;1;Asker;01.01.2024 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3203;;
Asker;3025;Kartverket;Tilbaketrukket;02.01.2023;1;Asker;01.01.2020 00:00:00;31.12.2023 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3025;;
Askim;0124;Kartverket;Tilbaketrukket;02.01.2023;1;Askim;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0124;;
Askvoll;4645;Kartverket;Gyldig;02.01.2023;1;Askvoll;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4645;;
Askvoll;1428;Kartverket;Tilbaketrukket;02.01.2023;1;Askvoll;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1428;;
Askøy;4627;Kartverket;Gyldig;02.01.2023;1;Askøy;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4627;;
Askøy;1247;Kartverket;Tilbaketrukket;02.01.2023;1;Askøy;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1247;;
Audnedal;1027;Kartverket;Tilbaketrukket;02.01.2023;1;Audnedal;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1027;;
Aukra;1547;Kartverket;Gyldig;02.01.2023;1;Aukra;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1547;;
Aure;1569;Kartverket;Tilbaketrukket;02.01.2023;1;Aure;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1569;;
Aure;1576;Kartverket;Gyldig;02.01.2023;1;Aure;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1576;;
Aurland;4641;Kartverket;Gyldig;02.01.2023;1;Aurland;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4641;;
Aurland;1421;Kartverket;Tilbaketrukket;02.01.2023;1;Aurland;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1421;;
Aurskog-Høland;0221;Kartverket;Tilbaketrukket;02.01.2023;1;Aurskog-Høland;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0221;;
Aurskog-Høland;3026;Kartverket;Tilbaketrukket;02.01.2023;1;Aurskog-Høland;01.01.2020 00:00:00;31.12.2023 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3026;;
Aurskog-Høland;3226;Kartverket;Gyldig;02.01.2023;1;Aurskog-Høland;01.01.2024 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3226;;
Austevoll;1244;Kartverket;Tilbaketrukket;02.01.2023;1;Austevoll;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1244;;
Austevoll;4625;Kartverket;Gyldig;02.01.2023;1;Austevoll;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4625;;
Austrheim;1264;Kartverket;Tilbaketrukket;02.01.2023;1;Austrheim;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1264;;
Austrheim;4632;Kartverket;Gyldig;02.01.2023;1;Austrheim;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4632;;
Averøy;1554;Kartverket;Gyldig;02.01.2023;1;Averøy;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1554;;
Balestrand;1418;Kartverket;Tilbaketrukket;02.01.2023;1;Balestrand;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1418;;
Ballangen;1854;Kartverket;Tilbaketrukket;02.01.2023;1;Ballangen;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1854;;
Balsfjord;5532;Kartverket;Gyldig;02.01.2023;1;Balsfjord;01.01.2024 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/5532;;
Balsfjord;5422;Kartverket;Tilbaketrukket;02.01.2023;1;Balsfjord;01.01.2020 00:00:00;31.12.2023 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/5422;;
Balsfjord;1933;Kartverket;Tilbaketrukket;02.01.2023;1;Balsfjord;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1933;;
Bamble;3813;Kartverket;Tilbaketrukket;02.01.2023;1;Bamble;01.01.2020 00:00:00;31.12.2023 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3813;;
Bamble;0814;Kartverket;Tilbaketrukket;02.01.2023;1;Bamble;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0814;;
Bamble;4012;Kartverket;Gyldig;02.01.2023;1;Bamble;01.01.2024 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4012;;
Bardu;5416;Kartverket;Tilbaketrukket;02.01.2023;1;Bardu;01.01.2020 00:00:00;31.12.2023 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/5416;;
Bardu;5520;Kartverket;Gyldig;02.01.2023;1;Bardu;01.01.2024 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/5520;;
Bardu;1922;Kartverket;Tilbaketrukket;02.01.2023;1;Bardu;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1922;;
Beiarn;1839;Kartverket;Gyldig;02.01.2023;1;Beiarn;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1839;;
Berg;1929;Kartverket;Tilbaketrukket;02.01.2023;1;Berg;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1929;;
Bergen;4601;Kartverket;Gyldig;02.01.2023;1;Bergen;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4601;;
Bergen;1201;Kartverket;Tilbaketrukket;02.01.2023;1;Bergen;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1201;;
Berlevåg;2024;Kartverket;Tilbaketrukket;02.01.2023;1;Berlevåg;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/2024;;
Berlevåg;5440;Kartverket;Tilbaketrukket;02.01.2023;1;Berlevåg;01.01.2020 00:00:00;31.12.2023 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/5440;;
Berlevåg;5630;Kartverket;Gyldig;02.01.2023;1;Berlevåg;01.01.2024 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/5630;;
Bindal;1811;Kartverket;Gyldig;02.01.2023;1;Bindal;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1811;;
Birkenes;4216;Kartverket;Gyldig;02.01.2023;1;Birkenes;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4216;;
Birkenes;0928;Kartverket;Tilbaketrukket;02.01.2023;1;Birkenes;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0928;;
Bjarkøy;1915;Kartverket;Tilbaketrukket;02.01.2023;1;Bjarkøy;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1915;;
Bjerkreim;1114;Kartverket;Gyldig;02.01.2023;1;Bjerkreim;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1114;;
Bjugn;5017;Kartverket;Tilbaketrukket;02.01.2023;1;Bjugn;01.01.2018 00:00:00;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/5017;;
Bjugn;1627;Kartverket;Tilbaketrukket;02.01.2023;1;Bjugn;;01.01.2018 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1627;;
Bjørnafjorden;4624;Kartverket;Gyldig;02.01.2023;1;Bjørnafjorden;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4624;;
Bjørnøya;2121;Kartverket;Tilbaketrukket;02.01.2023;1;Bjørnøya;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/2121;;
Bodø;1804;Kartverket;Gyldig;02.01.2023;1;Bodø;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1804;;
Bokn;1145;Kartverket;Gyldig;02.01.2023;1;Bokn;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1145;;
Borge;0113;Kartverket;Tilbaketrukket;02.01.2023;1;Borge;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0113;;
Borre;0717;Kartverket;Tilbaketrukket;02.01.2023;1;Borre;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0717;;
Bremanger;1438;Kartverket;Tilbaketrukket;02.01.2023;1;Bremanger;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1438;;
Bremanger;4648;Kartverket;Gyldig;02.01.2023;1;Bremanger;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4648;;
Brunlanes;0726;Kartverket;Tilbaketrukket;02.01.2023;1;Brunlanes;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0726;;
Brønnøy;1813;Kartverket;Gyldig;02.01.2023;1;Brønnøy;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1813;;
Bygland;4220;Kartverket;Gyldig;02.01.2023;1;Bygland;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4220;;
Bygland;0938;Kartverket;Tilbaketrukket;02.01.2023;1;Bygland;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0938;;
Bykle;4222;Kartverket;Gyldig;02.01.2023;1;Bykle;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4222;;
Bykle;0941;Kartverket;Tilbaketrukket;02.01.2023;1;Bykle;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0941;;
Bærum;0219;Kartverket;Tilbaketrukket;02.01.2023;1;Bærum;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0219;;
